"subject" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featAxis" "count" "average" "featType" "featOperation" "activityName"
"62" 1 "Gravity" "Accelerometer" NA NA "X" 50 -0.8968300184 "Time" "SD" "LAYING"
"63" 1 "Gravity" "Accelerometer" NA NA "Y" 50 -0.90772000676 "Time" "SD" "LAYING"
"64" 1 "Gravity" "Accelerometer" NA NA "Z" 50 -0.85236629022 "Time" "SD" "LAYING"
"65" 1 "Gravity" "Accelerometer" NA "Magnitude" NA 50 -0.8419291525 "Time" "Mean" "LAYING"
"66" 1 "Gravity" "Accelerometer" NA "Magnitude" NA 50 -0.79514486386 "Time" "SD" "LAYING"
"67" 1 NA "Gyroscope" NA NA "X" 47 -0.976161464042553 "Freq" "Mean" "SITTING"
"68" 1 NA "Gyroscope" NA NA "Y" 47 -0.975838585319149 "Freq" "Mean" "SITTING"
"69" 1 NA "Gyroscope" NA NA "Z" 47 -0.951315544468085 "Freq" "Mean" "SITTING"
"70" 1 NA "Gyroscope" NA NA "X" 47 -0.977904227021277 "Freq" "SD" "SITTING"
"71" 1 NA "Gyroscope" NA NA "Y" 47 -0.962345042553192 "Freq" "SD" "SITTING"
"72" 1 NA "Gyroscope" NA NA "Z" 47 -0.94391784106383 "Freq" "SD" "SITTING"
"73" 1 NA "Gyroscope" NA "Magnitude" NA 47 -0.958435589361702 "Freq" "Mean" "SITTING"
"74" 1 NA "Gyroscope" NA "Magnitude" NA 47 -0.932198374893617 "Freq" "SD" "SITTING"
"75" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 47 -0.989797547234043 "Freq" "Mean" "SITTING"
"76" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 47 -0.987049617234042 "Freq" "SD" "SITTING"
"77" 1 "Body" "Accelerometer" NA NA "X" 47 -0.979641238723404 "Freq" "Mean" "SITTING"
"78" 1 "Body" "Accelerometer" NA NA "Y" 47 -0.944084550425532 "Freq" "Mean" "SITTING"
"79" 1 "Body" "Accelerometer" NA NA "Z" 47 -0.959184889148936 "Freq" "Mean" "SITTING"
"80" 1 "Body" "Accelerometer" NA NA "X" 47 -0.976412313191489 "Freq" "SD" "SITTING"
"81" 1 "Body" "Accelerometer" NA NA "Y" 47 -0.917275006382979 "Freq" "SD" "SITTING"
"82" 1 "Body" "Accelerometer" NA NA "Z" 47 -0.934469558085106 "Freq" "SD" "SITTING"
"83" 1 "Body" "Accelerometer" NA "Magnitude" NA 47 -0.947782922553192 "Freq" "Mean" "SITTING"
"84" 1 "Body" "Accelerometer" NA "Magnitude" NA 47 -0.928444801702128 "Freq" "SD" "SITTING"
"85" 1 "Body" "Accelerometer" "Jerk" NA "X" 47 -0.986597022553191 "Freq" "Mean" "SITTING"
"86" 1 "Body" "Accelerometer" "Jerk" NA "Y" 47 -0.981579467021277 "Freq" "Mean" "SITTING"
"87" 1 "Body" "Accelerometer" "Jerk" NA "Z" 47 -0.986053092340426 "Freq" "Mean" "SITTING"
"88" 1 "Body" "Accelerometer" "Jerk" NA "X" 47 -0.987492994468085 "Freq" "SD" "SITTING"
"89" 1 "Body" "Accelerometer" "Jerk" NA "Y" 47 -0.982513909574468 "Freq" "SD" "SITTING"
"90" 1 "Body" "Accelerometer" "Jerk" NA "Z" 47 -0.988339184893617 "Freq" "SD" "SITTING"
"91" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 47 -0.985262126808511 "Freq" "Mean" "SITTING"
"92" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 47 -0.981606177446808 "Freq" "SD" "SITTING"
"93" 1 NA "Gyroscope" NA NA "X" 47 -0.045350056512766 "Time" "Mean" "SITTING"
"94" 1 NA "Gyroscope" NA NA "Y" 47 -0.0919241549361702 "Time" "Mean" "SITTING"
"95" 1 NA "Gyroscope" NA NA "Z" 47 0.0629313811914894 "Time" "Mean" "SITTING"
"96" 1 NA "Gyroscope" NA NA "X" 47 -0.977211283191489 "Time" "SD" "SITTING"
"97" 1 NA "Gyroscope" NA NA "Y" 47 -0.966473895319149 "Time" "SD" "SITTING"
"98" 1 NA "Gyroscope" NA NA "Z" 47 -0.941425920851064 "Time" "SD" "SITTING"
"99" 1 NA "Gyroscope" NA "Magnitude" NA 47 -0.93089249 "Time" "Mean" "SITTING"
"100" 1 NA "Gyroscope" NA "Magnitude" NA 47 -0.934531840425532 "Time" "SD" "SITTING"
"101" 1 NA "Gyroscope" "Jerk" NA "X" 47 -0.0936793807234042 "Time" "Mean" "SITTING"
"102" 1 NA "Gyroscope" "Jerk" NA "Y" 47 -0.0402118124255319 "Time" "Mean" "SITTING"
"103" 1 NA "Gyroscope" "Jerk" NA "Z" 47 -0.046702627 "Time" "Mean" "SITTING"
"104" 1 NA "Gyroscope" "Jerk" NA "X" 47 -0.99173159212766 "Time" "SD" "SITTING"
"105" 1 NA "Gyroscope" "Jerk" NA "Y" 47 -0.989518068510638 "Time" "SD" "SITTING"
"106" 1 NA "Gyroscope" "Jerk" NA "Z" 47 -0.987935806382979 "Time" "SD" "SITTING"
"107" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 47 -0.991976341276596 "Time" "Mean" "SITTING"
"108" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 47 -0.988308728510638 "Time" "SD" "SITTING"
"109" 1 "Body" "Accelerometer" NA NA "X" 47 0.261237565425532 "Time" "Mean" "SITTING"
"110" 1 "Body" "Accelerometer" NA NA "Y" 47 -0.00130828765170213 "Time" "Mean" "SITTING"
"111" 1 "Body" "Accelerometer" NA NA "Z" 47 -0.104544182255319 "Time" "Mean" "SITTING"
"112" 1 "Body" "Accelerometer" NA NA "X" 47 -0.977229008297872 "Time" "SD" "SITTING"
"113" 1 "Body" "Accelerometer" NA NA "Y" 47 -0.922618641914894 "Time" "SD" "SITTING"
"114" 1 "Body" "Accelerometer" NA NA "Z" 47 -0.93958629106383 "Time" "SD" "SITTING"
"115" 1 "Body" "Accelerometer" NA "Magnitude" NA 47 -0.948536786170213 "Time" "Mean" "SITTING"
"116" 1 "Body" "Accelerometer" NA "Magnitude" NA 47 -0.927078418723404 "Time" "SD" "SITTING"
"117" 1 "Body" "Accelerometer" "Jerk" NA "X" 47 0.0774825199574468 "Time" "Mean" "SITTING"
"118" 1 "Body" "Accelerometer" "Jerk" NA "Y" 47 -0.000619102785106384 "Time" "Mean" "SITTING"
"119" 1 "Body" "Accelerometer" "Jerk" NA "Z" 47 -0.00336779235021277 "Time" "Mean" "SITTING"
"120" 1 "Body" "Accelerometer" "Jerk" NA "X" 47 -0.986430711276596 "Time" "SD" "SITTING"
"121" 1 "Body" "Accelerometer" "Jerk" NA "Y" 47 -0.981371965319149 "Time" "SD" "SITTING"
"122" 1 "Body" "Accelerometer" "Jerk" NA "Z" 47 -0.987910804468085 "Time" "SD" "SITTING"
"123" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 47 -0.987364195531915 "Time" "Mean" "SITTING"
"124" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 47 -0.984120024042553 "Time" "SD" "SITTING"
"125" 1 "Gravity" "Accelerometer" NA NA "X" 47 0.831509933404255 "Time" "Mean" "SITTING"
"126" 1 "Gravity" "Accelerometer" NA NA "Y" 47 0.204411592680851 "Time" "Mean" "SITTING"
"127" 1 "Gravity" "Accelerometer" NA NA "Z" 47 0.332043702765957 "Time" "Mean" "SITTING"
"128" 1 "Gravity" "Accelerometer" NA NA "X" 47 -0.968457145744681 "Time" "SD" "SITTING"
"129" 1 "Gravity" "Accelerometer" NA NA "Y" 47 -0.935517055957447 "Time" "SD" "SITTING"
"130" 1 "Gravity" "Accelerometer" NA NA "Z" 47 -0.949040933191489 "Time" "SD" "SITTING"
"131" 1 "Gravity" "Accelerometer" NA "Magnitude" NA 47 -0.948536786170213 "Time" "Mean" "SITTING"
"132" 1 "Gravity" "Accelerometer" NA "Magnitude" NA 47 -0.927078418723404 "Time" "SD" "SITTING"
"133" 1 NA "Gyroscope" NA NA "X" 53 -0.986386786037736 "Freq" "Mean" "STANDING"
"134" 1 NA "Gyroscope" NA NA "Y" 53 -0.988984455849057 "Freq" "Mean" "STANDING"
"135" 1 NA "Gyroscope" NA NA "Z" 53 -0.980773122830189 "Freq" "Mean" "STANDING"
"136" 1 NA "Gyroscope" NA NA "X" 53 -0.987497128679245 "Freq" "SD" "STANDING"
"137" 1 NA "Gyroscope" NA NA "Y" 53 -0.987107727735849 "Freq" "SD" "STANDING"
"138" 1 NA "Gyroscope" NA NA "Z" 53 -0.98234533 "Freq" "SD" "STANDING"
"139" 1 NA "Gyroscope" NA "Magnitude" NA 53 -0.984617623396226 "Freq" "Mean" "STANDING"
"140" 1 NA "Gyroscope" NA "Magnitude" NA 53 -0.978466072075472 "Freq" "SD" "STANDING"
"141" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 53 -0.994815376981132 "Freq" "Mean" "STANDING"
"142" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 53 -0.994671123207547 "Freq" "SD" "STANDING"
"143" 1 "Body" "Accelerometer" NA NA "X" 53 -0.99524993264151 "Freq" "Mean" "STANDING"
"144" 1 "Body" "Accelerometer" NA NA "Y" 53 -0.977070847735849 "Freq" "Mean" "STANDING"
"145" 1 "Body" "Accelerometer" NA NA "Z" 53 -0.985297098679245 "Freq" "Mean" "STANDING"
"146" 1 "Body" "Accelerometer" NA NA "X" 53 -0.99602834509434 "Freq" "SD" "STANDING"
"147" 1 "Body" "Accelerometer" NA NA "Y" 53 -0.972293102075472 "Freq" "SD" "STANDING"
"148" 1 "Body" "Accelerometer" NA NA "Z" 53 -0.977937259622642 "Freq" "SD" "STANDING"
"149" 1 "Body" "Accelerometer" NA "Magnitude" NA 53 -0.985356361132075 "Freq" "Mean" "STANDING"
"150" 1 "Body" "Accelerometer" NA "Magnitude" NA 53 -0.982313804716981 "Freq" "SD" "STANDING"
"151" 1 "Body" "Accelerometer" "Jerk" NA "X" 53 -0.994630797358491 "Freq" "Mean" "STANDING"
"152" 1 "Body" "Accelerometer" "Jerk" NA "Y" 53 -0.985418704528302 "Freq" "Mean" "STANDING"
"153" 1 "Body" "Accelerometer" "Jerk" NA "Z" 53 -0.990752166037736 "Freq" "Mean" "STANDING"
"154" 1 "Body" "Accelerometer" "Jerk" NA "X" 53 -0.995073759245283 "Freq" "SD" "STANDING"
"155" 1 "Body" "Accelerometer" "Jerk" NA "Y" 53 -0.987018226792453 "Freq" "SD" "STANDING"
"156" 1 "Body" "Accelerometer" "Jerk" NA "Z" 53 -0.992349818113207 "Freq" "SD" "STANDING"
"157" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 53 -0.99254247754717 "Freq" "Mean" "STANDING"
"158" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 53 -0.992536003396226 "Freq" "SD" "STANDING"
"159" 1 NA "Gyroscope" NA NA "X" 53 -0.0239877347979245 "Time" "Mean" "STANDING"
"160" 1 NA "Gyroscope" NA NA "Y" 53 -0.0593972209811321 "Time" "Mean" "STANDING"
"161" 1 NA "Gyroscope" NA NA "Z" 53 0.074800751 "Time" "Mean" "STANDING"
"162" 1 NA "Gyroscope" NA NA "X" 53 -0.987191946603774 "Time" "SD" "STANDING"
"163" 1 NA "Gyroscope" NA NA "Y" 53 -0.98773444 "Time" "SD" "STANDING"
"164" 1 NA "Gyroscope" NA NA "Z" 53 -0.980645626981132 "Time" "SD" "STANDING"
"165" 1 NA "Gyroscope" NA "Magnitude" NA 53 -0.976493792830189 "Time" "Mean" "STANDING"
"166" 1 NA "Gyroscope" NA "Magnitude" NA 53 -0.978690028679245 "Time" "SD" "STANDING"
"167" 1 NA "Gyroscope" "Jerk" NA "X" 53 -0.0996092129056604 "Time" "Mean" "STANDING"
"168" 1 NA "Gyroscope" "Jerk" NA "Y" 53 -0.0440627877924528 "Time" "Mean" "STANDING"
"169" 1 NA "Gyroscope" "Jerk" NA "Z" 53 -0.0489505466716981 "Time" "Mean" "STANDING"
"170" 1 NA "Gyroscope" "Jerk" NA "X" 53 -0.992945106981132 "Time" "SD" "STANDING"
"171" 1 NA "Gyroscope" "Jerk" NA "Y" 53 -0.995137917358491 "Time" "SD" "STANDING"
"172" 1 NA "Gyroscope" "Jerk" NA "Z" 53 -0.992108467169811 "Time" "SD" "STANDING"
"173" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 53 -0.994966790566038 "Time" "Mean" "STANDING"
"174" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 53 -0.994733238679245 "Time" "SD" "STANDING"
"175" 1 "Body" "Accelerometer" NA NA "X" 53 0.278917629056604 "Time" "Mean" "STANDING"
"176" 1 "Body" "Accelerometer" NA NA "Y" 53 -0.0161375901037736 "Time" "Mean" "STANDING"
"177" 1 "Body" "Accelerometer" NA NA "Z" 53 -0.110601817735849 "Time" "Mean" "STANDING"
"178" 1 "Body" "Accelerometer" NA NA "X" 53 -0.995759901509434 "Time" "SD" "STANDING"
"179" 1 "Body" "Accelerometer" NA NA "Y" 53 -0.973190056415094 "Time" "SD" "STANDING"
"180" 1 "Body" "Accelerometer" NA NA "Z" 53 -0.979775876981132 "Time" "SD" "STANDING"
"181" 1 "Body" "Accelerometer" NA "Magnitude" NA 53 -0.98427820735849 "Time" "Mean" "STANDING"
"182" 1 "Body" "Accelerometer" NA "Magnitude" NA 53 -0.981942928867925 "Time" "SD" "STANDING"
"183" 1 "Body" "Accelerometer" "Jerk" NA "X" 53 0.0753766542264151 "Time" "Mean" "STANDING"
"184" 1 "Body" "Accelerometer" "Jerk" NA "Y" 53 0.00797573092830189 "Time" "Mean" "STANDING"
"185" 1 "Body" "Accelerometer" "Jerk" NA "Z" 53 -0.00368524954709434 "Time" "Mean" "STANDING"
"186" 1 "Body" "Accelerometer" "Jerk" NA "X" 53 -0.994604542264151 "Time" "SD" "STANDING"
"187" 1 "Body" "Accelerometer" "Jerk" NA "Y" 53 -0.98564873245283 "Time" "SD" "STANDING"
"188" 1 "Body" "Accelerometer" "Jerk" NA "Z" 53 -0.992251177358491 "Time" "SD" "STANDING"
"189" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 53 -0.992367790566038 "Time" "Mean" "STANDING"
"190" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 53 -0.993096209433962 "Time" "SD" "STANDING"
"191" 1 "Gravity" "Accelerometer" NA NA "X" 53 0.942952000377358 "Time" "Mean" "STANDING"
"192" 1 "Gravity" "Accelerometer" NA NA "Y" 53 -0.272983832264151 "Time" "Mean" "STANDING"
"193" 1 "Gravity" "Accelerometer" NA NA "Z" 53 0.0134905823226415 "Time" "Mean" "STANDING"
"194" 1 "Gravity" "Accelerometer" NA NA "X" 53 -0.99376298509434 "Time" "SD" "STANDING"
"195" 1 "Gravity" "Accelerometer" NA NA "Y" 53 -0.981225957924528 "Time" "SD" "STANDING"
"196" 1 "Gravity" "Accelerometer" NA NA "Z" 53 -0.976324063584906 "Time" "SD" "STANDING"
"197" 1 "Gravity" "Accelerometer" NA "Magnitude" NA 53 -0.98427820735849 "Time" "Mean" "STANDING"
"198" 1 "Gravity" "Accelerometer" NA "Magnitude" NA 53 -0.981942928867925 "Time" "SD" "STANDING"
"199" 1 NA "Gyroscope" NA NA "X" 95 -0.339032197115789 "Freq" "Mean" "WALKING"
"200" 1 NA "Gyroscope" NA NA "Y" 95 -0.103059416434737 "Freq" "Mean" "WALKING"
"201" 1 NA "Gyroscope" NA NA "Z" 95 -0.255940940315789 "Freq" "Mean" "WALKING"
"202" 1 NA "Gyroscope" NA NA "X" 95 -0.516691938736842 "Freq" "SD" "WALKING"
"203" 1 NA "Gyroscope" NA NA "Y" 95 -0.0335081597884211 "Freq" "SD" "WALKING"
"204" 1 NA "Gyroscope" NA NA "Z" 95 -0.436562227473684 "Freq" "SD" "WALKING"
"205" 1 NA "Gyroscope" NA "Magnitude" NA 95 -0.199252568986316 "Freq" "Mean" "WALKING"
"206" 1 NA "Gyroscope" NA "Magnitude" NA 95 -0.321017953894737 "Freq" "SD" "WALKING"
"207" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 95 -0.319308593778947 "Freq" "Mean" "WALKING"
"208" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 95 -0.381601911789474 "Freq" "SD" "WALKING"
"209" 1 "Body" "Accelerometer" NA NA "X" 95 -0.202794306326316 "Freq" "Mean" "WALKING"
"210" 1 "Body" "Accelerometer" NA NA "Y" 95 0.0897127264021053 "Freq" "Mean" "WALKING"
"211" 1 "Body" "Accelerometer" NA NA "Z" 95 -0.331560117789474 "Freq" "Mean" "WALKING"
"212" 1 "Body" "Accelerometer" NA NA "X" 95 -0.319134719578947 "Freq" "SD" "WALKING"
"213" 1 "Body" "Accelerometer" NA NA "Y" 95 0.056040006846 "Freq" "SD" "WALKING"
"214" 1 "Body" "Accelerometer" NA NA "Z" 95 -0.279686751494737 "Freq" "SD" "WALKING"
"215" 1 "Body" "Accelerometer" NA "Magnitude" NA 95 -0.128623450629474 "Freq" "Mean" "WALKING"
"216" 1 "Body" "Accelerometer" NA "Magnitude" NA 95 -0.398032586842105 "Freq" "SD" "WALKING"
"217" 1 "Body" "Accelerometer" "Jerk" NA "X" 95 -0.170546964549579 "Freq" "Mean" "WALKING"
"218" 1 "Body" "Accelerometer" "Jerk" NA "Y" 95 -0.0352255241130632 "Freq" "Mean" "WALKING"
"219" 1 "Body" "Accelerometer" "Jerk" NA "Z" 95 -0.468999224631579 "Freq" "Mean" "WALKING"
"220" 1 "Body" "Accelerometer" "Jerk" NA "X" 95 -0.133586606326316 "Freq" "SD" "WALKING"
"221" 1 "Body" "Accelerometer" "Jerk" NA "Y" 95 0.106739857136 "Freq" "SD" "WALKING"
"222" 1 "Body" "Accelerometer" "Jerk" NA "Z" 95 -0.534713440421053 "Freq" "SD" "WALKING"
"223" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 95 -0.0571194000343158 "Freq" "Mean" "WALKING"
"224" 1 "Body" "Accelerometer" "Jerk" "Magnitude" NA 95 -0.103492403002105 "Freq" "SD" "WALKING"
"225" 1 NA "Gyroscope" NA NA "X" 95 -0.041830963526 "Time" "Mean" "WALKING"
"226" 1 NA "Gyroscope" NA NA "Y" 95 -0.0695300462115789 "Time" "Mean" "WALKING"
"227" 1 NA "Gyroscope" NA NA "Z" 95 0.0849448173042105 "Time" "Mean" "WALKING"
"228" 1 NA "Gyroscope" NA NA "X" 95 -0.473535485894737 "Time" "SD" "WALKING"
"229" 1 NA "Gyroscope" NA NA "Y" 95 -0.0546077686594737 "Time" "SD" "WALKING"
"230" 1 NA "Gyroscope" NA NA "Z" 95 -0.344266629473684 "Time" "SD" "WALKING"
"231" 1 NA "Gyroscope" NA "Magnitude" NA 95 -0.160979552536842 "Time" "Mean" "WALKING"
"232" 1 NA "Gyroscope" NA "Magnitude" NA 95 -0.186978364526316 "Time" "SD" "WALKING"
"233" 1 NA "Gyroscope" "Jerk" NA "X" 95 -0.0899975423705263 "Time" "Mean" "WALKING"
"234" 1 NA "Gyroscope" "Jerk" NA "Y" 95 -0.0398428709463158 "Time" "Mean" "WALKING"
"235" 1 NA "Gyroscope" "Jerk" NA "Z" 95 -0.0461309295021053 "Time" "Mean" "WALKING"
"236" 1 NA "Gyroscope" "Jerk" NA "X" 95 -0.207421854757895 "Time" "SD" "WALKING"
"237" 1 NA "Gyroscope" "Jerk" NA "Y" 95 -0.304468510631579 "Time" "SD" "WALKING"
"238" 1 NA "Gyroscope" "Jerk" NA "Z" 95 -0.404255452631579 "Time" "SD" "WALKING"
"239" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 95 -0.298703679084211 "Time" "Mean" "WALKING"
"240" 1 NA "Gyroscope" "Jerk" "Magnitude" NA 95 -0.325324878894737 "Time" "SD" "WALKING"
"241" 1 "Body" "Accelerometer" NA NA "X" 95 0.277330758736842 "Time" "Mean" "WALKING"
"242" 1 "Body" "Accelerometer" NA NA "Y" 95 -0.0173838185273684 "Time" "Mean" "WALKING"
"243" 1 "Body" "Accelerometer" NA NA "Z" 95 -0.111148103547368 "Time" "Mean" "WALKING"
"244" 1 "Body" "Accelerometer" NA NA "X" 95 -0.283740258842105 "Time" "SD" "WALKING"
"245" 1 "Body" "Accelerometer" NA NA "Y" 95 0.114461336747368 "Time" "SD" "WALKING"
"246" 1 "Body" "Accelerometer" NA NA "Z" 95 -0.260027902210526 "Time" "SD" "WALKING"
"247" 1 "Body" "Accelerometer" NA "Magnitude" NA 95 -0.136971176556842 "Time" "Mean" "WALKING"
"248" 1 "Body" "Accelerometer" NA "Magnitude" NA 95 -0.219688645631579 "Time" "SD" "WALKING"
"249" 1 "Body" "Accelerometer" "Jerk" NA "X" 95 0.0740416333157895 "Time" "Mean" "WALKING"
"250" 1 "Body" "Accelerometer" "Jerk" NA "Y" 95 0.0282721095884211 "Time" "Mean" "WALKING"
"251" 1 "Body" "Accelerometer" "Jerk" NA "Z" 95 -0.00416840617789474 "Time" "Mean" "WALKING"
